date_time,Ta,RH,Pa,SWin,SWout,LWin,LWout,SHF_1,SHF_2,SHF_3,Rn,albedo,P
2025-04-29 09:50,21.68,37.09,504.1,0.316,0.13,428.7,429.1,-0.4324466,1.334604,-0.4144984,-0.168,0.412,0
2025-04-29 10:00,21.75,36.88,504.3,0.276,0.13,428.9,429.5,-0.4281014,1.216917,-0.4149632,-0.355,0.473,0
2025-04-29 10:10,21.85,36.34,577.2,0.249,0.097,429.1,429.5,-0.3644394,0.8626206,-0.3992027,-0.271,0.393,0
2025-04-29 10:20,21.88,35.62,504.7,0.203,0.077,428.8,429.2,-0.3199294,0.7447523,-0.3222179,-0.294,0.387,0
2025-04-29 10:30,21.92,35.18,500.3,0.129,0.042,428.6,428.9,-0.2520314,0.6917046,-0.2459523,-0.226,0.327,0
2025-04-29 10:40,21.92,35.06,500,0.115,0.014,428.6,428.9,-0.2012595,0.6778233,-0.2148427,-0.163,0.129,0
2025-04-29 10:50,21.95,35,499.9,0.112,0.004,428.7,429,-0.1618936,0.6606156,-0.2162187,-0.12,0.034,0
2025-04-29 11:00,21.99,35.1,500.1,0.114,0.002,428.9,429,-0.1437629,0.6604144,-0.2172511,-0.051,0.019,0
2025-04-29 11:10,22.01,35.27,500.5,0.122,0.002,429.1,429.2,-0.1498589,0.7566141,-0.2481756,0.022,0.015,0
2025-04-29 11:20,22.06,35.54,501.1,0.176,0.004,429.6,429.6,-0.2161491,1.036894,-0.3704487,0.195,0.02,0
2025-04-29 11:30,22.12,35.44,501,0.179,0.004,429.7,429.7,-0.240847,0.8911949,-0.3127741,0.14,0.02,0
2025-04-29 11:40,22.18,35.43,500.9,0.129,0.002,429.6,429.7,-0.2223562,0.6031565,-0.1974276,-0.004,0.014,0
2025-04-29 11:50,22.18,35.54,501.2,0.115,0.004,429.7,429.8,-0.1925511,0.4739528,-0.1511102,-0.029,0.038,0
2025-04-29 12:00,22.22,35.83,501.8,0.104,0.008,429.8,429.9,-0.1916738,0.5080523,-0.1251643,-0.035,0.078,0
2025-04-29 12:10,22.25,35.96,502.2,0.117,0.008,429.9,430.1,-0.2014144,0.519629,-0.1006869,-0.006,0.071,0
2025-04-29 12:20,22.25,35.86,502,0.126,0.002,430.2,430.2,-0.1945982,0.6332558,-0.139227,0.077,0.017,0
2025-04-29 12:30,22.31,35.98,502.2,0.147,0.001,430.5,430.5,-0.2083427,0.7778571,-0.2194971,0.214,0.004,0
2025-04-29 12:40,22.33,36.04,502.3,0.194,0,430.8,430.7,-0.2439963,0.8696537,-0.2611574,0.287,0.001,0
2025-04-29 12:50,22.39,36.27,502.8,0.198,0,431.1,431,-0.2814261,0.9477941,-0.2867585,0.354,0.001,0
2025-04-29 13:00,22.46,36.6,503.6,0.244,0.001,431.6,431.4,-0.3502574,1.220185,-0.3932937,0.482,0.002,0
2025-04-29 13:10,22.54,36.61,503.6,0.26,0.002,432,431.7,-0.4141425,1.255875,-0.3849676,0.467,0.006,0
2025-04-29 13:20,22.62,36.73,503.8,0.251,0.003,432.2,432.1,-0.4704672,1.21422,-0.3283723,0.403,0.01,0
2025-04-29 13:30,22.7,37.18,504.9,0.263,0.015,432.6,432.5,-0.5347538,1.187557,-0.3248382,0.308,0.059,0
2025-05-07 14:50,16.95,36.55,500.5,861,211.1,296.6,444,29.48494,17.2642,12.1132,502.8,0.245,0
2025-05-07 15:00,16.62,36.19,500.5,396.3,88.2,295.9,415.5,30.03765,17.52322,12.27505,188.5,0.206,0
2025-05-07 15:10,16.51,36.06,1013,571.6,136.7,293.9,427.3,30.75204,17.85557,12.492,301.5,0.227,0
2025-05-07 15:20,16.76,35.66,1013,492.4,116.6,285.1,421.1,31.26096,18.08261,12.65344,239.8,0.22,0.3
2025-05-07 15:30,17.65,34.46,1013,806,202.7,292.8,448.6,31.6351,18.24306,12.7922,447.9,0.251,0
2025-05-07 15:40,17.29,33.18,1013,703.7,176,285.5,440.4,31.94916,18.30148,12.87011,372.7,0.241,0
2025-05-07 15:50,17.27,33.38,1013,715.4,175,284.3,432.5,32.14357,18.31837,12.91515,392.2,0.239,0
2025-05-07 16:00,17.9,31.22,1012,770,191.1,295,438,32.32988,18.39915,13.04499,435.8,0.248,0
2025-05-07 16:10,17.78,32.84,1013,759,189.1,315.7,441.3,32.42487,18.49332,13.12896,444.2,0.248,0
2025-05-07 16:20,16.7,33.91,1013,271.1,56.89,290.4,403.8,32.6073,18.65059,13.25477,100.8,0.195,0
2025-05-07 16:30,17.2,35.5,1012,643.8,163,292.4,426.5,32.85562,18.86079,13.41087,346.7,0.248,0
2025-05-07 16:40,17.69,33.62,1012,605.9,150.4,290.5,429.1,33.07035,19.05853,13.56534,316.9,0.241,0
2025-05-07 16:50,17.04,33.89,1012,438.4,105.7,288.4,409.6,33.24809,19.12086,13.65176,211.5,0.214,0
2025-05-07 17:00,17.75,33.43,1012,683.1,173.9,310.6,430.6,33.22213,19.09981,13.6889,389.2,0.255,0
2025-05-07 17:10,17.71,35.05,1012,453.3,109.3,288,417.8,33.17585,19.01387,13.69564,214.3,0.22,0
2025-05-07 17:20,17.37,33.37,1012,517.5,130.3,280.8,416.8,33.08588,18.84204,13.67833,251.3,0.246,0
2025-05-07 17:30,17.76,31.69,1012,564.2,143.4,296.9,421.8,32.97211,18.74313,13.65059,296,0.254,0
2025-05-07 17:40,17.81,33.48,1012,529.2,134.9,296.1,419.9,32.79284,18.62831,13.60427,270.5,0.255,0
2025-05-07 17:50,16.92,34.49,1012,265,59.29,272.7,396.7,32.60572,18.47623,13.5336,81.6,0.171,0
2025-05-07 18:00,17.29,32.4,1012,433.4,110.9,273.5,408.5,32.37466,18.30077,13.43889,187.5,0.256,0
2025-05-07 18:10,17.57,31.32,1012,408.2,101.9,274.6,405.9,32.05652,18.07381,13.32679,175,0.25,0
2025-05-07 18:20,17.46,32.09,1012,333.1,97.3,272.8,403.5,31.71542,17.73468,13.16848,105.1,0.298,0
2025-05-07 18:30,17.36,31.3,1012,352.4,90.6,272,399,31.2127,17.27641,12.95026,134.8,0.257,0
2025-05-07 18:40,17.44,33,1012,335.4,89,281.1,401.7,30.59066,16.71583,12.67107,125.7,0.265,0
2025-05-07 18:50,17.27,32.92,1012,329,89.3,293.2,399.2,29.83981,16.05247,12.32596,133.7,0.271,0
2025-05-07 19:00,17.03,33.14,1012,279.8,77.04,284,394.9,29.0979,15.31404,11.92397,91.9,0.275,0
2025-05-07 19:10,16.77,34.19,1012,235.1,64.12,272.1,388.9,28.33937,14.5048,11.49843,54.19,0.272,0
2025-05-07 19:20,16.6,35.3,1012,189.9,33.32,270,379.2,27.56764,13.7462,11.0624,47.33,0.172,0
2025-05-07 19:30,16.31,36.03,1012,59.26,13.27,268.5,371.9,26.73382,12.96882,10.6197,-57.34,0.226,0
