"filename","date_time","date","time","DOY","daytime","file_records","used_records","Tau","qc_Tau","rand_err_Tau","H","qc_H","rand_err_H","LE","qc_LE","rand_err_LE","co2_flux","qc_co2_flux","rand_err_co2_flux","h2o_flux","qc_h2o_flux","rand_err_h2o_flux","H_strg","LE_strg","co2_strg","h2o_strg","co2_v.adv","h2o_v.adv","co2_molar_density","co2_mole_fraction","co2_mixing_ratio","co2_time_lag","co2_def_timelag","h2o_molar_density","h2o_mole_fraction","h2o_mixing_ratio","h2o_time_lag","h2o_def_timelag","sonic_temperature","air_temperature","air_pressure","air_density","air_heat_capacity","air_molar_volume","ET","water_vapor_density","e","es","specific_humidity","RH","VPD","Tdew","u_unrot","v_unrot","w_unrot","u_rot","v_rot","w_rot","wind_speed","max_wind_speed","wind_dir","yaw","pitch","roll","u.","TKE","L","X.z.d..L","bowen_ratio","T.","model","x_peak","x_offset","x_10.","x_30.","x_50.","x_70.","x_90.","un_Tau","Tau_scf","un_H","H_scf","un_LE","LE_scf","un_co2_flux","co2_scf","un_h2o_flux","h2o_scf","spikes_hf","amplitude_resolution_hf","drop_out_hf","absolute_limits_hf","skewness_kurtosis_hf","skewness_kurtosis_sf","discontinuities_hf","discontinuities_sf","timelag_hf","timelag_sf","attack_angle_hf","non_steady_wind_hf","u_spikes","v_spikes","w_spikes","ts_spikes","co2_spikes","h2o_spikes","head_detect_LI.7200","t_out_LI.7200","t_in_LI.7200","aux_in_LI.7200","delta_p_LI.7200","chopper_LI.7200","detector_LI.7200","pll_LI.7200","sync_LI.7200","mean_value_RSSI_LI.7200","u_var","v_var","w_var","ts_var","co2_var","h2o_var","w.ts_cov","w.co2_cov","w.h2o_cov","ass_mean"
"TOA5_P_Bio_Atmo_25_00079_2025_05_09_0000.dat",2025-05-09 00:30:00,"2025-05-09","00:30",129.021,0,18000,17992,0.00347157,5,0.000548261,-2.44707,7,1.25502,-0.257781,7,0.250547,-2.71632,7,1.00451,-0.00575017,7,0.00558881,-9999,-9999,-9999,-9999,1.8282e-11,2.4328e-13,21.0885,481.978,485.284,0,0,280.627,6.41375,6.45515,0,0,278.354,278.354,100647,1.25663,1008.71,0.0229935,-0.000372611,0.00502645,645.7,882.386,0.00399994,73.1767,236.685,273.913,-0.0535221,-0.0238376,-0.0102404,0.0594787,-1.59918e-15,8.66917e-16,0.0594787,0.343033,326.885,204.007,-9.91398,-9999,0.0525605,0.00963593,5.19575,0.393764,9.49283,-0.0367295,1,0.141769,1,1,3,-9999,-9999,-9999,0.00333472,1.04104,-2.32818,1.05886,-0.21526,1.19753,-2.26826,1.19753,-0.00480168,1.19753,800000099,811100099,800000099,800000099,800000099,800000099,811110199,811110199,80000,80000,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.010817,0.00736564,0.00108918,0.0739693,63.2429,0.00196847,-0.00183673,-0.052492,-0.00011112,99.5873
"TOA5_P_Bio_Atmo_25_00080_2025_05_09_0030.dat",2025-05-09 01:00:00,"2025-05-09","01:00",129.042,0,18000,17999,0.00136418,5,0.000276151,0.043446,8,0.147251,1.33477,7,0.490664,3.14149,7,1.01461,0.0297633,7,0.010941,-0.584771,0.332956,0.695554,0.00742439,-5.69432e-11,-7.53775e-13,21.6985,495.105,498.572,0,0,287.23,6.55387,6.59711,1.5,0,277.977,277.977,100647,1.25827,1008.77,0.0229624,0.00192866,0.00514323,659.807,859.497,0.00408755,76.7667,199.69,274.213,0.0192453,-0.0904544,-0.00559346,0.0926481,4.5726e-15,-2.62429e-15,0.0926481,0.544021,256.245,282.011,-3.46123,-9999,0.0329268,0.0118168,-71.9483,-0.0284357,0.0325494,0.00103952,1,2.21395,1,2,3,6,11,33,0.00128098,1.06495,0.110624,1.05431,1.20396,1.10865,2.83362,1.10865,0.0268464,1.10865,800000099,811100099,800000099,800000099,800001099,810001099,811110199,811110199,80000,80000,80,81,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,100,0.0118196,0.0112258,0.00058815,0.0402363,132.733,0.0148657,8.71528e-05,0.065496,0.000620524,99.4507
"TOA5_P_Bio_Atmo_25_00081_2025_05_09_0100.dat",2025-05-09 01:30:00,"2025-05-09","01:30",129.062,0,18000,18000,0.00245845,5,0.000651172,0.790959,7,0.477296,-0.37563,5,0.203392,0.475994,7,0.485854,-0.00836964,5,0.00453189,-1.23396,-0.717705,0.710869,-0.0159916,-9.90118e-12,-1.21757e-13,22.3102,508.483,512.049,0,0,274.353,6.25292,6.29227,0,0,277.184,277.184,100647,1.26201,1008.6,0.0228969,-0.000542353,0.00492109,629.509,813.039,0.0038994,77.4267,183.53,273.562,-0.178857,-0.18147,-0.00505785,0.254847,4.07751e-14,-4.43796e-16,0.254847,0.696807,299.312,225.415,-1.1372,-9999,0.0441366,0.0447702,-9.51785,-0.214954,-2.10568,0.0140791,1,7.06188,3,6,10,15,26,65,0.00238554,1.03056,0.748765,1.03103,-0.347239,1.08176,0.440017,1.08176,-0.00773702,1.08176,800000099,811100099,800000099,800000099,800000099,800000099,811110199,811110199,80000,80000,80,81,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,100,0.0491549,0.0395055,0.000879834,0.0358262,245.226,0.00227219,0.000588253,0.0101384,-0.000178269,99.3755
"TOA5_P_Bio_Atmo_25_00082_2025_05_09_0130.dat",2025-05-09 02:00:00,"2025-05-09","02:00",129.083,0,18000,17999,0.00804685,5,0.00101441,0.299794,9,0.628513,-0.533454,7,0.295158,13.4602,6,2.86313,-0.0118811,7,0.00657375,-0.706864,0.15832,-0.0162142,0.00352609,2.20154e-10,2.73759e-12,22.3354,508.179,511.734,0.6,0,277.739,6.31917,6.35936,1.3,0,276.731,276.731,100647,1.26405,1008.62,0.0228594,-0.000769893,0.00498139,636.179,787.48,0.00394082,80.7867,151.301,273.707,0.0313849,-0.0417664,-0.0120416,0.0536138,4.68881e-14,9.85671e-15,0.0536138,0.508311,256.052,306.923,-12.9793,-9999,0.0797868,0.0273342,-148.343,-0.0137917,-0.561986,0.00294713,1,0.0887782,1,1,-9999,-9999,-9999,-9999,0.00734074,1.09619,0.252281,1.07595,-0.470131,1.13469,11.8624,1.13469,-0.0104707,1.13469,800000099,810100099,800000099,800000099,800000099,800010099,811110199,811110199,80000,80000,80,81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0.0240492,0.028654,0.001965,0.0863713,208.675,0.00127406,0.000197875,0.272892,-0.000240877,99.3083
"TOA5_P_Bio_Atmo_25_00083_2025_05_09_0200.dat",2025-05-09 02:30:00,"2025-05-09","02:30",129.104,0,18000,17999,0.00309496,5,0.00050154,-1.42524,7,0.403745,0.639,5,0.280604,9.90956,6,2.28441,0.0142286,5,0.00624824,-0.359746,-0.0454035,0.164323,-0.001011,-5.85406e-11,-7.21387e-13,22.4807,511.264,514.834,0.6,0,277.026,6.30019,6.34014,1.4,0,276.5,276.5,100647,1.26511,1008.62,0.0228403,0.000922015,0.00497057,634.268,774.757,0.00392895,81.8667,140.489,273.666,-0.175606,-0.0648319,-0.0141871,0.187729,-4.08798e-14,-2.60404e-15,0.187729,0.551684,347.74,200.264,-4.33409,-9999,0.049461,0.0198999,7.43354,0.275226,-2.23042,-0.0225824,1,2.63742,1,2,5,9,20,85,0.00301945,1.02501,-1.33784,1.04282,0.552862,1.1558,8.57374,1.1558,0.0123106,1.1558,800000099,811100099,800000099,800000099,800000099,800001099,811110199,811110199,80000,80000,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.024754,0.0142987,0.000747055,0.0258595,606.868,0.00500626,-0.00104846,0.197069,0.000282962,99.2573
"TOA5_P_Bio_Atmo_25_00084_2025_05_09_0230.dat",2025-05-09 03:00:00,"2025-05-09","03:00",129.125,0,18000,17998,0.00891475,5,0.00127135,-2.74437,5,2.05311,0.896994,6,0.480892,4.90599,5,3.31574,0.0199656,6,0.0107038,-0.645347,-0.423385,0.187689,-0.00942383,-9.86813e-12,-1.17386e-13,22.6514,514.782,518.354,0.1,0,269.448,6.12354,6.16127,1.5,0,276.087,276.087,100647,1.26709,1008.51,0.0228062,0.00129377,0.00483843,616.484,752.421,0.00381854,81.9333,135.937,273.273,-0.0144308,0.0316447,-0.00533275,0.0351863,4.28507e-14,-4.35652e-16,0.0351863,1.53506,109.922,114.514,-8.7172,-9999,0.0838785,0.116532,18.8273,0.108667,-3.05952,-0.0256038,1,0.0168088,1,-9999,-9999,-9999,-9999,-9999,0.0083703,1.06505,-2.56457,1.05375,0.786778,1.14008,4.30318,1.14008,0.0175124,1.14008,800000099,800100099,800000099,800000099,800100099,810111199,811110199,811110199,80000,80000,80,81,0,1,2,7,9,0,0,0,0,0,0,0,0,0,0,100,0.0382253,0.192293,0.00254624,0.166521,337.622,0.00313328,-0.0020069,0.0987441,0.000401852,99.2015
"TOA5_P_Bio_Atmo_25_00085_2025_05_09_0300.dat",2025-05-09 03:30:00,"2025-05-09","03:30",129.146,0,18000,17998,0.00908849,5,0.00136022,-3.02329,7,0.889401,3.4653,7,0.618897,12.5405,7,2.33988,0.0771279,7,0.0137749,-0.0853728,0.460799,0.18016,0.0102561,-1.54659e-10,-1.88511e-12,22.8273,518.158,521.798,0,0,278.238,6.31576,6.3559,0.9,0,276.032,276.032,100647,1.26725,1008.62,0.0228017,0.00499789,0.00499129,635.835,749.51,0.00393868,84.8333,113.676,273.7,0.05518,0.0401799,-0.00662852,0.0685798,1.6139e-14,-6.77516e-15,0.0685798,0.530997,169.281,36.0606,-5.54654,-9999,0.0846866,0.0310757,17.5898,0.116312,-0.872445,-0.0279303,1,0.0920998,1,1,-9999,-9999,-9999,-9999,0.00874432,1.03936,-2.73433,1.04093,3.08311,1.12396,11.1574,1.12396,0.0686212,1.12396,800000099,811100099,800000099,800000099,800000099,801001199,811110199,811110199,80000,80000,80,81,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,100,0.0539229,0.00701329,0.00121511,0.0351938,192.233,0.00602797,-0.00213926,0.256025,0.00157463,99.0569
"TOA5_P_Bio_Atmo_25_00086_2025_05_09_0330.dat",2025-05-09 04:00:00,"2025-05-09","04:00",129.167,0,18000,17999,-0.00137841,7,0.000742414,-4.94582,5,1.03431,-0.966993,5,0.37261,7.46805,5,1.75268,-0.0215133,5,0.00828967,-0.707839,-0.913109,-0.112848,-0.0203145,-1.78682e-11,-2.05524e-13,22.7341,516.047,519.56,0,0,261.492,5.93566,5.97111,1.5,0,275.58,275.58,100647,1.26951,1008.4,0.0227643,-0.00139406,0.00469861,597.569,725.792,0.00370111,82.3333,128.223,272.844,-0.384585,-0.345803,-0.00976458,0.517281,2.08199e-14,-7.85966e-16,0.517281,1.06025,322.192,221.961,-1.08162,-9999,0.0329512,0.0551431,0.633347,3.2303,5.11463,-0.117245,1,38.9939,17,36,75,142,311,1373,-0.00125859,1.0952,-4.2007,1.18863,-0.559955,1.72691,4.32451,1.72691,-0.0124577,1.72691,800000099,800100099,800000099,800000099,800000099,800010099,811110199,811110199,80000,80000,80,81,4,0,4,7,2,0,0,0,0,0,0,0,0,0,0,100,0.0634723,0.0451444,0.00166955,0.150426,403.52,0.00637738,-0.00328134,0.0990326,-0.000285284,99.1109
"TOA5_P_Bio_Atmo_25_00087_2025_05_09_0400.dat",2025-05-09 04:30:00,"2025-05-09","04:30",129.187,0,18000,18000,0.00332633,7,0.00112359,-1.84403,6,0.863789,0.28915,5,0.229914,7.03662,6,2.01131,0.00642969,5,0.00511249,-0.824391,0.186953,0.868413,0.00415718,-3.14032e-11,-3.5478e-13,23.4876,532.264,535.923,0,0,265.353,6.0133,6.04968,1.5,0,275.054,275.054,100647,1.2719,1008.44,0.0227209,0.000416644,0.00476916,605.385,699.059,0.00374963,86.6,93.6739,273.023,0.169265,0.153053,0.000849446,0.228203,-6.51497e-16,-1.33701e-15,0.228203,1.03496,146.13,42.1205,0.213274,-9999,0.0511394,0.128226,6.34986,0.322196,-6.37742,-0.0281133,1,3.57774,2,3,7,13,28,124,0.00324502,1.02506,-1.75323,1.04542,0.247567,1.16797,6.02468,1.16797,0.00550503,1.16797,800000099,800100099,800000099,800000099,800000099,800100099,811110199,811110199,80000,80000,80,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0.240595,0.015111,0.00074612,0.132211,603.601,0.00395662,-0.0013669,0.137714,0.000125836,98.9829
"TOA5_P_Bio_Atmo_25_00088_2025_05_09_0430.dat",2025-05-09 05:00:00,"2025-05-09","05:00",129.208,0,18000,18000,-0.0012176,5,0.000181603,-1.83514,5,0.271068,0.118482,7,0.146495,1.10558,8,0.394896,0.00263451,7,0.00325737,-0.0783701,-0.285015,-0.901479,-0.00633743,-2.10724e-11,-2.41003e-13,22.7471,515.432,518.937,0,0,260.157,5.89497,5.92993,1.5,0,275.004,275.004,100647,1.27219,1008.37,0.0227168,0.000170716,0.00467617,593.472,696.564,0.00367568,85.2,103.091,272.75,-0.472161,-0.525443,-0.00992164,0.706488,1.83927e-14,-9.26376e-16,0.706488,1.19697,312.632,228.057,-0.804666,-9999,0.0309368,0.0293688,1.41258,1.44834,-15.4887,-0.0462405,1,76.6708,34,75,165,332,800,4355,-0.00115607,1.05322,-1.65599,1.10711,0.0830413,1.42679,0.77487,1.42679,0.00184646,1.42679,800000099,800100099,800000099,800000099,800000099,810110099,811110199,811110199,80000,80000,80,80,9,0,3,3,2,0,0,0,0,0,0,0,0,0,0,100,0.0430376,0.0141815,0.00151853,0.0954711,174.169,0.00127088,-0.00129088,0.017707,4.21944e-05,98.9808
