file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,ass_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--
TOA5_P_Bio_Atmo_25_00367_2025_05_15_0000.dat,2025-05-15,00:30,135.021,0,18000,17999,-0.132433,1,0.861926E-02,-24.3967,2,1.85805,0.344989,8,0.483867,3.89418,2,0.275626,0.773208E-02,8,0.108447E-01,-9999.0,-9999.0,-9999.0,-9999.0,-0.246909E-09,-0.491947E-11,18.6428,435.765,440.061,0.100000,0,371.443,8.68228,8.75832,0.100000,0,283.326,283.326,100647.,1.23352,1010.04,0.234042E-01,0.501039E-03,0.668490E-02,874.083,1238.78,0.541937E-02,70.5600,364.697,278.183,-2.48399,-1.79051,-0.136027,3.06507,0.494296E-13,-0.132442E-13,3.06507,6.95118,323.605,215.785,-2.54362,-9999.0,0.327662,0.803239,126.317,0.161966E-01,-70.7172,-0.597615E-01,0,31.8512,-4.83354,10.9335,27.2259,41.5212,58.2341,87.2453,-0.130902,1.01170,-23.8234,1.02613,0.304284,1.13377,3.43471,1.13377,0.681977E-02,1.13377,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800010199,80000,80000,80,81,15,25,6,15,14,0,0,0,0,0,0,0,0,0,0,93,0.786139,0.676414,0.143922,0.492987E-01,0.812161,0.577470E-03,-0.191214E-01,0.810910E-01,0.161010E-03,95.0644
TOA5_P_Bio_Atmo_25_00368_2025_05_15_0030.dat,2025-05-15,01:00,135.042,0,18000,17996,-0.924758E-01,1,0.668277E-02,-23.3747,1,1.94852,1.02181,2,0.353908,4.71397,1,0.380954,0.228904E-01,2,0.792820E-02,-0.763444,0.349805E-01,0.793854E-01,0.783627E-03,-0.937860E-10,-0.186533E-11,18.7394,437.289,441.619,0.100000,0,372.711,8.69733,8.77363,0.100000,0,282.825,282.825,100647.,1.23569,1010.04,0.233629E-01,0.148330E-02,0.670833E-02,875.598,1197.92,0.542880E-02,73.0933,322.320,278.208,-2.24059,-1.39742,-0.120040,2.64337,-0.299592E-13,-0.500475E-14,2.64337,5.95144,327.241,211.951,-2.60279,-9999.0,0.273564,0.596075,76.7263,0.266649E-01,-22.8758,-0.684601E-01,0,31.4212,-4.76829,10.7859,26.8584,40.9607,57.4480,86.0676,-0.914155E-01,1.01160,-22.8028,1.02552,0.905308,1.12868,4.17652,1.12868,0.202806E-01,1.12868,800000099,800000099,800000099,800000099,800000099,801000099,800000199,800010199,80000,80000,80,81,1,19,3,11,6,8,0,0,0,0,0,0,0,0,0,93,0.622429,0.465922,0.103799,0.479978E-01,1.44389,0.407697E-03,-0.182700E-01,0.984316E-01,0.477970E-03,94.9992
TOA5_P_Bio_Atmo_25_00369_2025_05_15_0100.dat,2025-05-15,01:30,135.062,0,18000,17997,-0.795040E-01,1,0.537507E-02,-20.7919,1,1.31975,-0.231183,8,0.472554,4.33109,1,0.264207,-0.517685E-02,8,0.105819E-01,-0.636377,0.968945E-01,0.679366E-01,0.216975E-02,0.591209E-10,0.117798E-11,18.8143,438.592,442.982,0.100000,0,374.874,8.73893,8.81597,0.100000,0,282.409,282.409,100647.,1.23750,1010.05,0.233284E-01,-0.335460E-03,0.675037E-02,879.786,1164.82,0.545485E-02,75.5300,285.031,278.276,-2.07039,-1.32852,-0.103310,2.46215,-0.598548E-14,0.314234E-14,2.46215,5.28813,326.750,212.687,-2.40480,-9999.0,0.253467,0.515959,68.6092,0.298196E-01,89.9374,-0.656273E-01,0,30.7231,-4.66234,10.5462,26.2616,40.0506,56.1716,84.1552,-0.786001E-01,1.01150,-20.3508,1.02514,-0.205373,1.12567,3.84756,1.12567,-0.459890E-02,1.12567,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800010199,80000,80000,80,81,5,32,1,25,17,0,0,0,0,0,0,0,0,0,0,93,0.491360,0.446292,0.942662E-01,0.228602E-01,0.812796,0.220766E-02,-0.162814E-01,0.905491E-01,-0.108231E-03,94.9436
TOA5_P_Bio_Atmo_25_00370_2025_05_15_0130.dat,2025-05-15,02:00,135.083,0,18000,17998,-0.587975E-01,1,0.451220E-02,-25.7614,1,1.58412,0.505865,7,0.602985,5.59029,1,0.394322,0.113255E-01,7,0.134998E-01,-0.329791,0.388992,0.760868E-01,0.870887E-02,0.961945E-10,0.194679E-11,18.8962,440.049,444.516,0.100000,0,382.423,8.90579,8.98581,0.100000,0,282.193,282.193,100647.,1.23837,1010.14,0.233106E-01,0.733890E-03,0.688451E-02,896.584,1148.00,0.555935E-02,78.1000,251.411,278.548,-1.37507,-1.21827,-0.887314E-01,1.83926,0.146110E-13,0.509068E-14,1.83926,4.20305,317.724,221.540,-2.76519,-9999.0,0.217899,0.315074,35.1821,0.581518E-01,-50.9255,-0.945108E-01,0,31.7054,-4.81142,10.8834,27.1013,41.3312,57.9676,86.8461,-0.580991E-01,1.01202,-25.1646,1.02555,0.450679,1.12245,4.98043,1.12245,0.100899E-01,1.12245,800000099,800000099,800000099,800000099,800000099,800000099,800000199,800010199,80000,80000,80,81,9,20,1,5,5,0,0,0,0,0,0,0,0,0,0,93,0.306655,0.259131,0.643617E-01,0.384937E-01,2.12352,0.182041E-02,-0.201168E-01,0.117140,0.237317E-03,94.8245
TOA5_P_Bio_Atmo_25_00371_2025_05_15_0200.dat,2025-05-15,02:30,135.104,0,18000,17999,-0.610296E-01,1,0.529363E-02,-12.6583,1,1.36004,1.48664,2,0.638261,6.05236,1,0.418194,0.332826E-01,2,0.142892E-01,-0.370417E-01,0.211156,0.720160E-01,0.472731E-02,-0.340973E-10,-0.694906E-12,18.9385,441.429,445.985,0.100000,0,385.969,8.99635,9.07802,0.100000,0,282.169,282.169,100647.,1.23843,1010.19,0.233086E-01,0.215671E-02,0.695512E-02,905.702,1146.12,0.561608E-02,79.0233,240.418,278.694,-1.13982,-1.24502,-0.917281E-01,1.69047,-0.249330E-13,-0.180042E-14,1.69047,4.59356,311.613,227.526,-3.11051,-9999.0,0.221991,0.309317,75.7112,0.270224E-01,-8.51470,-0.455791E-01,0,32.5601,-4.94111,11.1768,27.8319,42.4453,59.5302,89.1871,-0.603885E-01,1.01062,-12.3391,1.02226,1.34473,1.10553,5.47462,1.10553,0.301055E-01,1.10553,800000099,800000099,800000099,800000099,800000099,800000099,800010199,800010199,80000,80000,80,81,4,17,2,2,1,0,0,0,0,0,0,0,0,0,0,93,0.353743,0.202301,0.625910E-01,0.266199E-01,2.15209,0.158916E-02,-0.986297E-02,0.128765,0.708089E-03,94.7643
TOA5_P_Bio_Atmo_25_00372_2025_05_15_0230.dat,2025-05-15,03:00,135.125,0,18000,17999,-0.724436E-01,1,0.560030E-02,-4.83449,1,0.595466,2.68566,4,1.24457,4.45253,1,0.292835,0.601428E-01,4,0.278710E-01,0.446918,0.269575,-0.603788E-01,0.603688E-02,-0.398517E-10,-0.824797E-12,18.8590,440.271,444.874,0.100000,0,390.318,9.11212,9.19592,0.100000,0,282.461,282.461,100647.,1.23709,1010.27,0.233328E-01,0.389725E-02,0.703733E-02,917.357,1168.96,0.568860E-02,78.4767,251.598,278.878,-1.99686,-1.21212,-0.106280,2.33837,0.136186E-13,-0.211314E-14,2.33837,5.56758,327.841,211.258,-2.60501,-9999.0,0.241991,0.537881,256.797,0.796701E-02,-1.80011,-0.159851E-01,0,29.9168,-4.53999,10.2695,25.5724,38.9996,54.6975,81.9468,-0.717067E-01,1.01028,-4.60000,1.02240,2.41629,1.11148,4.00594,1.11148,0.541104E-01,1.11148,800000099,800010099,800000099,800000099,800000099,800000099,800010199,800010199,80000,80000,80,81,7,11,5,15,8,0,0,0,0,0,0,0,0,0,0,93,0.512725,0.471096,0.919412E-01,0.554014E-02,1.04007,0.482826E-02,-0.368062E-02,0.943295E-01,0.127416E-02,94.8065
TOA5_P_Bio_Atmo_25_00373_2025_05_15_0300.dat,2025-05-15,03:30,135.146,0,18000,17997,-0.734481E-01,1,0.543592E-02,-1.78382,1,0.377132,2.51864,2,1.00382,4.98347,1,0.320346,0.564109E-01,2,0.224829E-01,0.236692,0.364378,0.233232E-01,0.816109E-02,-0.436980E-10,-0.919012E-12,18.8608,440.719,445.422,0.100000,0,396.661,9.26872,9.35543,0.100000,0,282.616,282.616,100647.,1.23634,1010.35,0.233456E-01,0.365543E-02,0.715434E-02,933.122,1181.22,0.578671E-02,78.9967,248.095,279.125,-1.85094,-1.00079,-0.828668E-01,2.10581,-0.247273E-13,-0.231687E-14,2.10581,5.14973,330.409,208.400,-2.25526,-9999.0,0.243737,0.449359,711.156,0.287687E-02,-0.708249,-0.585896E-02,0,31.7291,-4.81501,10.8916,27.1215,41.3620,58.0109,86.9108,-0.727329E-01,1.00983,-1.61755,1.02114,2.28191,1.10374,4.51506,1.10374,0.511087E-01,1.10374,800000099,800010099,800000099,800000099,800000099,800000099,800010199,800010199,80000,80000,80,81,8,12,4,3,6,0,0,0,0,0,0,0,0,0,0,93,0.427873,0.390290,0.805544E-01,0.326191E-02,1.14942,0.358193E-02,-0.129493E-02,0.106393,0.120433E-02,94.8160
TOA5_P_Bio_Atmo_25_00374_2025_05_15_0330.dat,2025-05-15,04:00,135.167,0,18000,17999,-0.697234E-01,1,0.513431E-02,-3.10068,1,0.977459,1.29152,1,1.54133,5.25076,1,0.331869,0.289311E-01,1,0.345269E-01,0.241032,0.615172,0.608760E-01,0.137803E-01,-0.149960E-10,-0.323523E-12,18.8989,441.887,446.721,0.100000,0,407.725,9.53329,9.62504,0.100000,0,282.774,282.774,100647.,1.23553,1010.50,0.233586E-01,0.187473E-02,0.735444E-02,959.758,1193.83,0.595248E-02,80.3933,234.070,279.532,-1.35598,-1.18478,-0.875162E-01,1.80279,0.450861E-13,-0.793484E-15,1.80279,4.38475,318.134,221.145,-2.78251,-9999.0,0.237555,0.370380,378.798,0.540103E-02,-2.40080,-0.104545E-01,0,32.3553,-4.91004,11.1065,27.6568,42.1784,59.1558,88.6262,-0.690485E-01,1.00977,-2.97812,1.02055,1.17572,1.09849,4.77996,1.09849,0.263369E-01,1.09849,800000099,800010099,800000099,800000099,800000099,800000099,800010199,800110199,80000,80000,80,81,8,14,3,6,13,0,0,0,0,0,0,0,0,0,0,93,0.313504,0.354382,0.728752E-01,0.950356E-02,1.31082,0.794886E-02,-0.238535E-02,0.112728,0.621117E-03,94.7487
TOA5_P_Bio_Atmo_25_00375_2025_05_15_0400.dat,2025-05-15,04:30,135.187,0,18000,17999,-0.648349E-01,1,0.508924E-02,-4.07428,2,0.893879,1.15481,2,0.400946,5.71349,1,0.331459,0.258742E-01,2,0.898344E-02,0.348055,0.558196,-0.117181E-02,0.125067E-01,-0.536175E-10,-0.118597E-11,18.8860,441.865,446.778,0.100000,0,417.739,9.77360,9.87006,0.100000,0,283.003,283.003,100647.,1.23442,1010.64,0.233775E-01,0.167665E-02,0.753375E-02,983.950,1212.26,0.610309E-02,81.1667,228.309,279.894,-1.20951,-1.35562,-0.104781,1.81978,0.394228E-15,-0.283901E-14,1.81978,4.10864,311.142,228.260,-3.30087,-9999.0,0.229178,0.343829,258.860,0.790351E-02,-3.52811,-0.142502E-01,0,31.4194,-4.76801,10.7852,26.8568,40.9583,57.4446,86.0625,-0.642003E-01,1.00989,-3.94158,1.02083,1.04984,1.09998,5.19416,1.09998,0.235224E-01,1.09998,800000099,800010099,800000099,800000099,800000099,800000099,800010199,800010199,80000,80000,80,81,6,8,1,2,9,0,0,0,0,0,0,0,0,0,0,93,0.319436,0.295240,0.729832E-01,0.817724E-02,1.27893,0.704212E-03,-0.315946E-02,0.122625,0.555324E-03,94.7317
